"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2012","80,610","79,735","80,995","79,460","104,70K","1,03%"
"23.12.2012","79,785","79,700","80,050","79,420","48,87K","0,09%"
"16.12.2012","79,712","79,590","79,735","79,015","100,06K","0,19%"
"09.12.2012","79,560","80,540","80,570","79,365","115,09K","-1,05%"
"02.12.2012","80,402","80,195","80,975","79,565","120,65K","0,30%"
"25.11.2012","80,163","80,230","80,610","80,025","83,44K","-0,09%"
"18.11.2012","80,236","81,250","81,300","80,155","72,23K","-1,32%"
"11.11.2012","81,310","81,105","81,515","80,940","107,64K","0,26%"
"04.11.2012","81,098","80,710","81,175","80,365","121,65K","0,51%"
"28.10.2012","80,683","80,075","80,740","79,720","88,89K","0,66%"
"21.10.2012","80,156","79,700","80,375","79,535","97,01K","0,59%"
"14.10.2012","79,688","79,820","80,045","78,970","87,54K","-0,07%"
"07.10.2012","79,740","79,465","80,310","79,430","83,95K","0,39%"
"30.09.2012","79,428","80,045","80,250","79,180","85,26K","-0,75%"
"23.09.2012","80,025","79,420","80,090","79,375","92,16K","0,79%"
"16.09.2012","79,398","78,840","79,755","78,750","80,97K","0,71%"
"09.09.2012","78,841","80,185","80,400","78,600","121,83K","-1,74%"
"02.09.2012","80,234","81,210","81,675","80,140","89,66K","-1,21%"
"26.08.2012","81,216","81,615","81,840","80,960","70,26K","-0,47%"
"19.08.2012","81,603","82,560","82,765","81,220","103,15K","-1,28%"
"12.08.2012","82,663","82,640","82,960","82,250","76,38K","0,04%"
"05.08.2012","82,631","82,405","82,945","82,065","81,99K","0,22%"
"29.07.2012","82,446","82,755","83,610","82,225","111,09K","-0,39%"
"22.07.2012","82,765","83,750","84,245","82,400","130,37K","-0,97%"
"15.07.2012","83,573","83,400","83,770","82,800","91,08K","0,12%"
"08.07.2012","83,474","83,560","83,985","83,135","103,75K","-0,10%"
"01.07.2012","83,561","81,730","83,605","81,655","95,11K","2,21%"
"24.06.2012","81,753","82,490","83,070","81,560","135,27K","-0,84%"
"17.06.2012","82,442","81,235","82,670","81,225","129,36K","1,03%"
"10.06.2012","81,605","82,000","82,755","81,255","159,87K","-1,16%"
"03.06.2012","82,562","82,885","83,150","81,960","146,53K","-0,50%"
"27.05.2012","82,973","82,265","83,670","81,900","169,99K","0,55%"
"20.05.2012","82,523","81,295","82,610","81,025","146,71K","1,35%"
"13.05.2012","81,424","80,560","81,930","80,490","196,91K","1,27%"
"06.05.2012","80,404","79,790","80,480","79,630","135,81K","1,03%"
"29.04.2012","79,587","78,790","79,615","78,665","97,02K","1,05%"
"22.04.2012","78,757","79,375","79,775","78,720","94,97K","-0,70%"
"15.04.2012","79,313","80,085","80,345","79,225","99,49K","-0,93%"
"08.04.2012","80,055","80,050","80,320","79,365","101,57K","-0,30%"
"01.04.2012","80,293","79,035","80,365","78,795","74,54K","1,46%"
"25.03.2012","79,138","79,495","79,940","78,870","111,05K","-0,55%"
"18.03.2012","79,576","80,065","80,195","79,325","96,62K","-0,20%"
"11.03.2012","79,734","80,025","80,725","79,690","122,14K","-0,44%"
"04.03.2012","80,084","79,515","80,095","79,100","125,78K","0,78%"
"26.02.2012","79,462","78,450","79,515","78,120","149,14K","1,35%"
"19.02.2012","78,401","79,200","79,465","78,260","114,61K","-1,33%"
"12.02.2012","79,456","78,950","80,240","78,715","127,27K","0,29%"
"05.02.2012","79,226","79,190","79,645","78,430","133,43K","0,21%"
"29.01.2012","79,057","78,960","79,665","78,745","127,57K","0,06%"
"22.01.2012","79,011","80,535","80,585","78,890","143,43K","-1,73%"
"15.01.2012","80,406","81,670","81,680","80,185","78,90K","-1,69%"
"08.01.2012","81,791","81,670","82,045","80,735","76,66K","0,24%"
"01.01.2012","81,597","80,155","81,720","79,830","79,42K","1,34%"
"25.12.2011","80,522","80,150","81,310","80,040","54,66K","0,36%"
"18.12.2011","80,236","80,300","80,940","79,550","68,47K","-0,02%"
"11.12.2011","80,249","78,780","80,775","78,690","146,28K","1,99%"
"04.12.2011","78,681","78,735","79,185","78,150","90,56K","-0,06%"
"27.11.2011","78,731","79,450","79,580","78,010","118,00K","-1,38%"
"20.11.2011","79,831","78,230","79,875","78,145","74,36K","2,01%"
"13.11.2011","78,255","76,975","78,690","76,925","119,55K","1,46%"
"06.11.2011","77,131","77,050","78,420","76,675","116,77K","-0,04%"
"30.10.2011","77,162","75,215","77,840","75,110","178,53K","2,59%"
"23.10.2011","75,216","76,600","76,870","74,860","166,70K","-1,84%"
"16.10.2011","76,628","76,810","77,855","76,465","159,87K","-0,36%"
"09.10.2011","76,907","79,075","79,180","76,795","126,05K","-2,83%"
"02.10.2011","79,149","79,440","80,430","78,450","171,45K","0,09%"
"25.09.2011","79,075","78,995","79,645","77,835","150,40K","-0,19%"
"18.09.2011","79,228","77,070","79,400","76,965","162,19K","3,44%"
"11.09.2011","76,593","77,580","77,885","76,090","163,90K","-0,91%"
"04.09.2011","77,300","74,910","77,375","74,670","185,48K","3,29%"
"28.08.2011","74,839","73,785","74,865","73,565","108,09K","1,31%"
"21.08.2011","73,869","74,140","74,550","73,635","108,35K","-0,32%"
"14.08.2011","74,106","74,675","74,745","73,515","114,24K","-0,85%"
"07.08.2011","74,743","74,390","75,390","73,905","169,48K","-0,08%"
"31.07.2011","74,802","74,130","75,645","73,755","184,11K","1,03%"
"24.07.2011","74,036","74,180","74,685","73,585","131,47K","-0,51%"
"17.07.2011","74,412","75,520","76,115","74,125","150,32K","-1,47%"
"10.07.2011","75,520","75,560","77,175","74,990","184,99K","0,01%"
"03.07.2011","75,514","74,515","75,745","74,405","94,18K","1,12%"
"26.06.2011","74,674","76,190","76,590","74,505","148,34K","-2,02%"
"19.06.2011","76,210","75,615","76,280","74,865","152,98K","0,99%"
"12.06.2011","75,461","74,805","76,505","74,590","130,96K","0,89%"
"05.06.2011","74,798","73,770","74,935","73,515","174,74K","1,34%"
"29.05.2011","73,807","74,940","75,100","73,725","127,28K","-1,61%"
"22.05.2011","75,018","75,845","76,540","74,895","156,71K","-0,74%"
"15.05.2011","75,579","76,080","76,190","75,085","191,09K","-0,47%"
"08.05.2011","75,938","75,025","76,140","74,530","224,24K","1,14%"
"01.05.2011","75,080","73,185","75,180","72,860","214,76K","2,70%"
"24.04.2011","73,107","74,300","74,520","73,015","109,17K","-1,45%"
"17.04.2011","74,180","75,085","76,055","73,935","113,78K","-1,13%"
"10.04.2011","75,028","75,165","75,455","74,825","109,73K","-0,33%"
"03.04.2011","75,273","76,230","76,400","75,060","102,60K","-1,06%"
"27.03.2011","76,083","76,520","76,870","75,885","116,16K","-0,53%"
"20.03.2011","76,485","75,870","76,560","75,590","128,10K","0,68%"
"13.03.2011","75,971","76,550","77,390","75,790","124,45K","-1,04%"
"06.03.2011","76,770","76,350","77,550","76,145","145,28K","0,46%"
"27.02.2011","76,416","77,255","77,435","76,285","133,82K","-1,14%"
"20.02.2011","77,300","77,710","78,390","76,975","91,47K","-0,54%"
"13.02.2011","77,720","78,495","78,980","77,570","102,12K","-1,08%"
"06.02.2011","78,565","78,170","78,795","77,580","103,85K","0,52%"
"30.01.2011","78,157","78,390","78,470","77,000","114,39K","-0,16%"
"23.01.2011","78,280","78,300","78,630","77,705","115,51K","-0,11%"
"16.01.2011","78,370","79,300","79,765","78,010","107,58K","-1,25%"
"09.01.2011","79,366","81,490","81,635","78,970","124,50K","-2,40%"
"02.01.2011","81,321","79,310","81,455","79,115","123,82K","2,56%"
"26.12.2010","79,288","80,820","81,010","79,025","50,05K","-1,91%"
"19.12.2010","80,832","80,750","81,185","80,575","51,99K","0,10%"
"12.12.2010","80,752","80,210","81,010","79,145","81,42K","0,86%"
"05.12.2010","80,066","79,300","80,425","79,170","129,18K","0,83%"
"28.11.2010","79,407","80,275","81,525","79,060","165,34K","-1,28%"
"21.11.2010","80,433","78,350","80,600","78,060","90,57K","2,34%"
"14.11.2010","78,594","78,325","79,585","78,015","130,55K","0,46%"
"07.11.2010","78,231","76,690","78,640","76,515","154,78K","2,01%"
"31.10.2010","76,691","77,105","77,625","75,235","135,53K","-0,99%"
"24.10.2010","77,457","77,550","78,510","76,875","115,92K","-0,29%"
"17.10.2010","77,685","77,255","78,610","75,850","136,63K","0,54%"
"10.10.2010","77,268","77,150","78,170","76,335","123,92K","-0,38%"
"03.10.2010","77,563","78,240","78,900","77,150","127,49K","-0,96%"
"26.09.2010","78,313","79,530","80,010","78,220","114,86K","-1,62%"
"19.09.2010","79,599","81,665","81,740","79,465","116,03K","-2,50%"
"12.09.2010","81,641","82,675","82,680","81,075","101,62K","-1,28%"
"05.09.2010","82,701","82,050","82,995","81,885","93,27K","0,70%"
"29.08.2010","82,124","82,850","83,405","82,015","98,17K","-1,02%"
"22.08.2010","82,968","83,165","83,635","82,665","134,32K","-0,23%"
"15.08.2010","83,160","83,030","83,430","81,995","80,78K","0,15%"
"08.08.2010","83,038","80,485","83,350","80,345","108,98K","3,16%"
"01.08.2010","80,496","81,570","81,670","80,170","83,17K","-1,42%"
"25.07.2010","81,655","82,700","82,815","81,565","78,84K","-1,18%"
"18.07.2010","82,629","82,790","83,640","82,355","102,54K","-0,04%"
"11.07.2010","82,658","84,080","84,725","82,250","102,53K","-1,78%"
"04.07.2010","84,152","84,725","85,075","83,835","74,02K","-0,61%"
"27.06.2010","84,670","85,580","86,600","84,360","109,70K","-1,06%"
"20.06.2010","85,579","85,670","86,710","85,360","96,02K","-0,46%"
"13.06.2010","85,976","87,400","87,400","85,735","62,59K","-1,76%"
"06.06.2010","87,517","88,400","88,800","86,770","135,44K","-0,90%"
"30.05.2010","88,315","86,860","88,405","86,220","104,21K","2,00%"
"23.05.2010","86,582","85,680","87,550","85,655","137,92K","1,22%"
"16.05.2010","85,537","86,410","87,625","85,325","210,08K","-0,80%"
"09.05.2010","86,231","83,900","86,435","83,070","135,56K","1,86%"
"02.05.2010","84,659","82,050","85,460","81,870","221,59K","3,25%"
"25.04.2010","81,991","81,580","82,870","81,360","116,71K","0,60%"
"18.04.2010","81,498","81,010","82,200","80,860","96,94K","0,68%"
"11.04.2010","80,944","80,850","81,035","80,140","111,82K","-0,37%"
"04.04.2010","81,241","81,285","82,060","81,010","97,98K","-0,25%"
"28.03.2010","81,444","81,620","81,940","80,520","98,62K","-0,65%"
"21.03.2010","81,978","80,975","82,520","80,775","119,15K","1,24%"
"14.03.2010","80,975","79,770","81,135","79,730","97,10K","1,42%"
"07.03.2010","79,840","80,425","80,880","79,650","143,48K","-0,77%"
"28.02.2010","80,460","80,535","81,340","79,835","125,68K","0,02%"
